<Sentence id='1'>			
1	((	NP	<fs   drel='r6:NP2'  name='NP'>
1.1	bItU	NNP	<fs af='bItU,n,m,sg,3,o,0,0' posn='10'  name='बीटू'>
1.2	kI	PSP	<fs af='kA,psp,f,sg,,o,,' posn='20'  name='की'>
	))
2	((	NP	<fs   drel='r6:NP3'  name='NP2'>
2.1	mAM	NN	<fs af='mAz,n,f,sg,3,o,0,0' posn='30'  name='मां'>
2.2	kA	PSP	<fs af='kA,psp,m,sg,,d,,' posn='40'  name='का'>
	))
3	((	NP	<fs   drel='k1:VGF'  name='NP3'>
3.1	ceharA	NN	<fs af='ceharA,n,m,sg,3,d,0,0' name='चेहरा'  posn='50'>
	))
4	((	VGF	<fs   name='VGF'  stype='declarative'  voicetype='active'>
4.1	muraJAyA	VM	<fs af='muraJA,v,m,sg,any,,yA,yA' posn='60'  name='मुरझाया'>
4.2	huA	VAUX	<fs af='ho,v,m,sg,any,,yA,yA' name='हुआ'  posn='70'>
	))
5	((	BLK	<fs   drel='rsym:VGF'  name='BLK'>
5.1	.	SYM	<fs af='।,punc,,,,,,' posn='80'  name='।'>
	))
</Sentence>			
<Sentence id='2'>			
1	((	NP	<fs   drel='r6:NP2'  name='NP'>
1.1	basanwa	NNP	<fs af='basaMwa,n,m,sg,3,o,0,0' posn='10'  name='बसन्त'>
1.2	ke	PSP	<fs af='kA,psp,m,sg,,o,,' name='के'  posn='20'>
	))
2	((	NP	<fs   drel='k7:NULL__VGF'  name='NP2'>
2.1	mOsama	NN	<fs af='mOsama,n,m,sg,3,o,0,0' posn='30'  name='मौसम'>
2.2	meM	PSP	<fs af='meM,psp,,,,,,' posn='40'  name='में'>
	))
3	((	NP	<fs   name='NP3'  drel='k1:NULL__VGF'>
3.1	pawaJadZa	NN	<fs af='pawaJada,n,m,sg,3,d,0,0' name='पतझड़'  posn='50'>
	))
4	((	RBP	<fs   drel='adv:NULL__VGF'  name='RBP'>
4.1	kyoM	WQ	<fs af='kyoM,pn,,,,,,' name='क्यों'  posn='60'>
	))
5	((	NULL__VGF	<fs   mtype='gap'  name='NULL__VGF'  troot='है'  stype='interrogative'  voicetype='active'>
5.1	NULL	VM	<fs af=',v,,,,,,' name='NULL'>
	))
6	((	BLK	<fs   name='BLK'  drel='rsym:NULL__VGF'>
6.1	?	SYM	<fs af='?,punc,,,,,,' name='?'  posn='70'>
	))
</Sentence>			
<Sentence id='3'>			
1	((	NP	<fs   drel='spr:BLK'  name='NP'>
1.1	jFAneSvarI	NNP	<fs af='jFAneSvarI,n,f,sg,3,d,0,0' posn='10'  name='ज्ञानेश्वरी'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' name='-'  posn='20'>
	))
3	((	NP	<fs   name='NP2'  drel='k4a:VGF'>
3.1	wumako	PRP	<fs af='wuma,pn,any,sg,2,o,ko,ko' posn='30'  name='तुमको'>
	))
4	((	NP	<fs   drel='pof:VGF'  name='NP3'>
4.1	majAka	NN	<fs af='majAka,n,m,sg,3,d,0,0' posn='40'  name='मजाक'>
	))
5	((	VGF	<fs   voicetype='active'  stype='interrogative'  name='VGF'  drel='spn:BLK'>
5.1	sUJa	VM	<fs af='sUJa,v,any,any,any,,0,0' name='सूझ'  posn='50'>
5.2	rahA	VAUX	<fs af='raha,v,m,sg,any,,yA,yA' posn='60'  name='रहा'>
5.3	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' posn='70'  name='है'>
	))
6	((	NP	<fs   drel='r6:NP5'  name='NP4'>
6.1	mere	PRP	<fs af='mEM,pn,m,sg,1,o,kA,kA' posn='80'  name='मेरे'>
	))
7	((	VGNF	<fs   drel='nmod__k1inv:NP5'  name='VGNF'>
7.1	muraJAye	VM	<fs af='muraJA,v,m,sg,any,,yA,yA' name='मुरझाये'  posn='90'>
	))
8	((	NP	<fs   drel='k2:VGNF2'  name='NP5'>
8.1	cehare	NN	<fs af='ceharA,n,m,sg,3,o,0,0' name='चेहरे'  posn='100'>
8.2	ko	PSP	<fs af='ko,psp,,,,,,' name='को'  posn='110'>
	))
9	((	VGNF	<fs   name='VGNF2'  drel='vmod:VGF'>
9.1	xeKakara	VM	<fs af='xeKa,v,any,any,any,,kara,kara' posn='120'  name='देखकर'>
	))
10	((	BLK	<fs   name='BLK2'  drel='rsym:BLK'>
10.1	?	SYM	<fs af='?,punc,,,,,,' posn='130'  name='?'>
	))
</Sentence>			
<Sentence id='4'>			
1	((	NP	<fs   name='NP'  drel='vmod:VGF'>
