<Sentence id='1'>			
1	((	NP	<fs   name='NP'  drel='spr:BLK'>
1.1	suXA	NNP	<fs af='suXA,n,f,sg,3,d,0,0' name='सुधा'  posn='10'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' name='-'  posn='20'>
	))
3	((	NP	<fs   name='NP2'  drel='rad:VGF'>
3.1	mammI	NN	<fs af='mammI,n,f,sg,3,d,0,0' posn='30'  name='मम्मी'>
	))
4	((	NP	<fs   drel='k2:VGF'  name='NP3'>
4.1	Pona	NN	<fs af='Pona,n,m,sg,3,d,0,0' posn='40'  name='फोन'>
	))
5	((	VGF	<fs   stype='declarative'  voicetype='active'  name='VGF'  drel='spn:BLK'>
5.1	lo	VM	<fs af='le,v,any,sg,2,,o,ao' posn='50'  name='लो'>
	))
6	((	BLK	<fs   name='BLK2'  drel='rsym:BLK'>
6.1	.	SYM	<fs af='।,punc,,,,,,' posn='60'  name='।'>
	))
</Sentence>			
<Sentence id='2'>			
1	((	NP	<fs   name='NP'  drel='spr:BLK'>
1.1	jyowi	NNP	<fs af='jyowi,n,f,sg,3,d,0,0' name='ज्योति'  posn='10'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' posn='20'  name='-'>
	))
3	((	NP	<fs   name='NP2'  drel='r6v:VGF'>
3.1	kisakA	WQ	<fs af='kOna,pn,m,sg,3,o,kA,kA' posn='30'  name='किसका'>
	))
4	((	VGF	<fs   stype='interrogative'  name='VGF'  voicetype='active'  drel='spn:BLK'>
4.1	hE	VM	<fs af='hE,v,any,sg,3,,hE,hE' name='है'  posn='40'>
	))
5	((	BLK	<fs   name='BLK2'  drel='rsym:BLK'>
5.1	?	SYM	<fs af='?,punc,,,,,,' name='?'  posn='50'>
	))
</Sentence>			
<Sentence id='3'>			
1	((	NP	<fs   name='NP'  drel='spr:BLK'>
1.1	suXA	NNP	<fs af='suXA,n,f,sg,3,d,0,0' name='सुधा'  posn='10'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' posn='20'  name='-'>
	))
3	((	NP	<fs   drel='k1:VGF'  name='NP2'>
3.1	mAmA	NN	<fs af='mAmA,n,m,sg,3,d,0,0' name='मामा'  posn='30'>
	))
4	((	VGF	<fs   voicetype='active'  stype='declarative'  name='VGF'  drel='spn:BLK'>
4.1	hEM	VM	<fs af='hE,v,any,sg,3h,,hE,hE' posn='40'  name='हैं'>
	))
5	((	BLK	<fs   name='BLK2'  drel='rsym:BLK'>
5.1	.	SYM	<fs af='।,punc,,,,,,' posn='50'  name='।'>
	))
</Sentence>			
<Sentence id='4'>			
1	((	NP	<fs   drel='spr:BLK'  name='NP'>
1.1	jyowi	NNP	<fs af='jyowi,n,f,sg,3,d,0,0' posn='10'  name='ज्योति'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' name='-'  posn='20'>
	))
3	((	NP	<fs   drel='spn:BLK'  name='NP2'>
3.1	kOna	WQ	<fs af='kOna,pn,,,,o,,' posn='30'  name='कौन'>
3.2	se	RP	<fs af='sA,avy,m,sg,3h,d,,' posn='40'  name='से'>
3.3	mAmA	NN	<fs af='mAmA,n,m,sg,3,d,0,0' posn='50'  name='मामा'>
	))
4	((	BLK	<fs   drel='rsym:BLK'  name='BLK2'>
4.1	.	SYM	<fs af='।,punc,,,,,,' name='।'  posn='60'>
	))
</Sentence>			
<Sentence id='5'>			
1	((	NP	<fs   drel='spr:BLK'  name='NP'>
1.1	suXA	NNP	<fs af='suXA,n,f,sg,3,d,0,0' name='सुधा'  posn='10'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' name='-'  posn='20'>
	))
3	((	NP	<fs   drel='pof:VGF'  name='NP2'>
3.1	bAwa	NN	<fs af='bAwa,n,f,sg,3,d,0,0' name='बात'  posn='30'>
3.2	wo	RP	<fs af='wo,avy,,,,,,' name='तो'  posn='40'>
	))
4	((	VGF	<fs   name='VGF'  voicetype='active'  drel='spn:BLK'  stype='declarative'>
4.1	karo	VM	<fs af='kara,v,any,sg,2,,o,ao' posn='50'  name='करो'>
	))
5	((	BLK	<fs   name='BLK2'  drel='rsym:BLK'>
5.1	.	SYM	<fs af='।,punc,,,,,,' posn='60'  name='।'>
	))
</Sentence>			
<Sentence id='6'>			
1	((	NP	<fs   drel='spr:BLK'  name='NP'>
1.1	jyowi	NNP	<fs af='jyowi,n,f,sg,3,d,0,0' name='ज्योति'  posn='10'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' posn='20'  name='-'>
	))
3	((	NP	<fs   name='NP2'  drel='k7:VGNF'>
3.1	kAnUnI	JJ	<fs af='kAnUnI,adj,any,any,,o,,' posn='30'  name='कानूनी'>
3.2	wOra	NN	<fs af='wOra,n,f,sg,3,o,0,0' posn='40'  name='तौर'>
3.3	para	PSP	<fs af='para,psp,,,,,,' posn='50'  name='पर'>
	))
4	((	VGNF	<fs   drel='nmod__k1inv:NP3'  name='VGNF'>
4.1	mArI	VM	<fs af='mAra,v,f,sg,any,,yA,yA' posn='60'  name='मारी'>
4.2	gayI	VAUX	<fs af='jA,v,f,sg,any,,yA1,yA1' name='गयी'  posn='70'>
	))
5	((	NP	<fs   drel='k5:VGF'  name='NP3'>
5.1	bahana	NN	<fs af='bahana,n,f,sg,3,o,0,0' posn='80'  name='बहन'>
5.2	se	PSP	<fs af='se,psp,,,,,,' posn='90'  name='से'>
	))
6	((	NP	<fs   name='NP4'  drel='k2:VGF'>
6.1	kyA	WQ	<fs af='kyA,pn,,,,,,' name='क्या'  posn='100'>
6.2	balixAna	NN	<fs af='balixAna,n,m,sg,3,d,0,0' name='बलिदान'  posn='110'>
	))
7	((	VGF	<fs   drel='spn:BLK'  voicetype='active'  stype='interrogative'  name='VGF'>
7.1	cAhawe	VM	<fs af='cAha,v,m,sg,2h,,wA,wA' posn='120'  name='चाहते'>
7.2	ho	VAUX	<fs af='ho,v,any,sg,2h,,0,0' posn='130'  name='हो'>
	))
8	((	BLK	<fs   drel='rsym:BLK'  name='BLK2'>
8.1	?	SYM	<fs af='?,punc,,,,,,' name='?'  posn='140'>
	))
</Sentence>			
<Sentence id='7'>			
1	((	NP	<fs   name='NP'  drel='k7t:VGF'>
1.1	aba	PRP	<fs af='aba,pn,,,,d,,' name='अब'  posn='10'>
	))
2	((	RBP	<fs   drel='adv:VGF'  name='RBP'>
2.1	kyA	WQ	<fs af='kyA,pn,,,,,,' name='क्या'  posn='20'>
	))
3	((	VGF	<fs   name='VGF'  voicetype='active'  stype='interrogative'>
3.1	bacA	VM	<fs af='baca,v,m,sg,any,,yA,yA' posn='30'  name='बचा'>
3.2	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' posn='40'  name='है'>
	))
4	((	BLK	<fs   name='BLK'  drel='rsym:VGF'>
4.1	?	SYM	<fs af='?,punc,,,,,,' name='?'  posn='50'>
	))
</Sentence>			
<Sentence id='8'>			
1	((	NP	<fs   drel='r6:NP2'  name='NP'>
1.1	kabra	NN	<fs af='kabra,n,f,sg,3,o,0,0' name='कब्र'  posn='10'>
1.2	ke	PSP	<fs af='kA,psp,m,sg,,o,,' posn='20'  name='के'>
	))
2	((	NP	<fs   drel='r6:NP3'  name='NP2'>
2.1	murxe	NN	<fs af='murxA,n,m,sg,3,o,0,0' posn='30'  name='मुर्दे'>
2.2	kI	PSP	<fs af='kA,psp,f,sg,,d,,' posn='40'  name='की'>
	))
3	((	NP	<fs   name='NP3'  drel='k1:VGF'>
3.1	yAxa	NN	<fs af='yAxa,n,f,sg,3,d,0,0' posn='50'  name='याद'>
	))
4	((	RBP	<fs   drel='vmod:VGF'  name='RBP'>
4.1	kEse	WQ	<fs af='kEse,pn,,,,,,' posn='60'  name='कैसे'>
	))
5	((	VGF	<fs   voicetype='active'  name='VGF'  stype='interrogative'>
5.1	AyI	VM	<fs af='A,v,f,sg,any,,yA,yA' name='आयी'  posn='70'>
	))
6	((	BLK	<fs   drel='rsym:VGF'  name='BLK'>
6.1	?	SYM	<fs af='?,punc,,,,,,' posn='80'  name='?'>
	))
</Sentence>			
<Sentence id='9'>			
1	((	NP	<fs   name='NP'  drel='spr:BLK'>
1.1	jagaprakASa	NNP	<fs af='jagaprakASa,n,m,sg,3,d,0,0' name='जगप्रकाश'  posn='10'>
	))
2	((	BLK	<fs   name='BLK'>
2.1	-	SYM	<fs af='-,punc,,,,,,' posn='20'  name='-'>
	))
