<Sentence id='1'>			
1	((	NP	<fs   drel='k1:VGF'  name='NP'>
1.1	mAkapA	NNP	<fs af='mAkapA,n,f,sg,3,o,0,0' name='माकपा'  posn='10'>
1.2	ne	PSP	<fs af='ne,psp,,,,,,' name='ने'  posn='20'>
	))
2	((	NP	<fs   name='NP2'  drel='k7t:VGF'>
2.1	SanivAra	NNP	<fs af='SanivAra,n,m,sg,3,o,0,0' posn='30'  name='शनिवार'>
2.2	ko	PSP	<fs af='ko,psp,,,,,,' name='को'  posn='40'>
	))
3	((	NP	<fs   drel='k7:VGF'  name='NP3'>
3.1	BArawa	NNPC	<fs af='BArawa,n,m,sg,3,d,0,0' posn='50'  name='भारत'>
3.2	-	SYM	<fs af='-,punc,,,,,,' name='-'  posn='60'>
3.3	amerikA	NNPC	<fs af='amerikA,n,m,sg,3,d,0,0' posn='70'  name='अमेरिका'>
3.4	paramANu	NNPC	<fs af='paramANu,n,m,sg,3,d,0,0' posn='80'  name='परमाणु'>
3.5	samaJOwe	NNP	<fs af='samaJOwA,n,m,sg,3,o,0,0' name='समझौते'  posn='90'>
3.6	para	PSP	<fs af='para,psp,,,,,,' posn='100'  name='पर'>
	))
4	((	NP	<fs   name='NP4'  drel='r6:NP5'>
4.1	apanI	PRP	<fs af='apanA,pn,f,any,any,d,0,0' name='अपनी'  posn='110'>
	))
5	((	NP	<fs   drel='k2:VGF'  name='NP5'>
5.1	Apawwi	NN	<fs af='Apawwi,n,f,sg,3,d,0,0' posn='120'  name='आपत्ति'>
	))
6	((	VGF	<fs   name='VGF'  stype='declarative'  voicetype='active'>
6.1	jawAI	VM	<fs af='jawA,v,f,sg,any,,yA,yA' name='जताई'  posn='130'>
6.2	hE	VAUX	<fs af='hE,v,any,sg,3,,hE,hE' name='है'  posn='140'>
	))
7	((	BLK	<fs   drel='rsym:VGF'  name='BLK'>
7.1	.	SYM	<fs af='।,punc,,,,,,' name='।'  posn='150'>
	))
</Sentence>			
<Sentence id='2'>			
1	((	NP	<fs   name='NP'  drel='k1:VGF'>
1.1	mAkapA	NNP	<fs af='mAkapA,n,f,sg,3,o,0,0' posn='10'  name='माकपा'>
1.2	ne	PSP	<fs af='ne,psp,,,,,,' posn='20'  name='ने'>
	))
2	((	VGF	<fs   voicetype='active'  name='VGF'  stype='declarative'>
2.1	kahA	VM	<fs af='kaha,v,m,sg,any,,yA,yA' name='कहा'  posn='30'>
	))
3	((	CCP	<fs   drel='k2:VGF'  name='CCP'>
3.1	ki	CC	<fs af='ki,avy,,,,,,' name='कि'  posn='40'>
	))
4	((	NP	<fs   drel='k1:VGF2'  name='NP2'>
4.1	BArawa	NNP	<fs af='BArawa,n,m,sg,3,o,0,0' name='भारत'  posn='50'>
4.2	ko	PSP	<fs af='ko,psp,,,,,,' posn='60'  name='को'>
	))
5	((	NP	<fs   name='NP3'  drel='k2:VGNF'>
5.1	cAra	QC	<fs af='cAra,num,any,any,,any,,' posn='70'  name='चार'>
5.2	pakRoM	NN	<fs af='pakRa,n,m,pl,3,o,0,0' posn='80'  name='पक्षों'>
5.3	ko	PSP	<fs af='ko,psp,,,,,,' name='को2'  posn='90'>
	))
6	((	VGNF	<fs   drel='vmod:VGF2'  name='VGNF'>
6.1	lekara	VM	<fs af='le,v,any,any,any,,kara,kara' posn='100'  name='लेकर'>
	))
7	((	JJP	<fs   name='JJP'  drel='k1s:VGF2'>
7.1	sawarka	JJ	<fs af='sawarka,adj,any,any,,,,' name='सतर्क'  posn='110'>
	))
8	((	VGF	<fs   name='VGF2'  stype='declarative'  drel='ccof:CCP'  voicetype='active'>
8.1	rahanA	VM	<fs af='raha,v,m,sg,any,,nA,nA' name='रहना'  posn='120'>
8.2	cAhie	VAUX	<fs af='cAhie,v,any,any,any,,0,0' posn='130'  name='चाहिए'>
	))
9	((	BLK	<fs   name='BLK'  drel='rsym:VGF'>
9.1	.	SYM	<fs af='।,punc,,,,,,' name='।'  posn='140'>
	))
</Sentence>			
<Sentence id='3'>			
1	((	RBP	<fs   drel='adv:VGNF'  name='RBP'>
1.1	viSeRakara	RB	<fs af='viSeRakara,adv,,,,,,' name='विशेषकर'  posn='10'>
1.2	,	SYM	<fs af='COMMA,punc,,,,,,' posn='20'  name=','>
	))
2	((	NP	<fs   drel='ccof:CCP'  name='NP'>
2.1	bahuAyAmI	JJ	<fs af='bahuAyAmI,adj,any,any,,o,,' posn='30'  name='बहुआयामी'>
2.2	aBiyAnoM	NN	<fs af='aBiyAna,n,m,pl,3,o,0,0' name='अभियानों'  posn='40'>
	))
3	((	CCP	<fs   drel='k7:VGNF'  name='CCP'>
3.1	Ora	CC	<fs af='Ora,avy,,,,,,' posn='50'  name='और'>
	))
4	((	NP	<fs   drel='ccof:CCP'  name='NP2'>
4.1	paramANu	NNPC	<fs af='paramANu,n,m,sg,3,d,0,0' name='परमाणु'  posn='60'>
4.2	paraspara	NNPC	<fs af='paraspara,n,m,sg,3,d,0,0' posn='70'  name='परस्पर'>
4.3	sixXAMwa	NNP	<fs af='sixXAnwa,n,m,sg,3,o,0,0' posn='80'  name='सिद्धांत'>
4.4	meM	PSP	<fs af='meM,psp,,,,,,' name='में'  posn='90'>
	))
5	((	NP	<fs   drel='r6:NP4'  name='NP3'>
5.1	isakI	PRP	<fs af='yaha,pn,f,sg,3,o,kA,kA' name='इसकी'  posn='100'>
	))
6	((	NP	<fs   drel='k2:VGNF'  name='NP4'>
6.1	BAgIxArI	NN	<fs af='BAgIxArI,n,f,sg,3,o,0,0' name='भागीदारी'  posn='110'>
6.2	ko	PSP	<fs af='ko,psp,,,,,,' name='को'  posn='120'>
	))
7	((	VGNF	<fs   drel='vmod:VGF'  voicetype='active'  stype='declarative'  name='VGNF'>
7.1	lekara	VM	<fs af='le,v,any,any,any,,kara,kara' name='लेकर'  posn='130'>
7.2	,	SYM	<fs af='COMMA,punc,,,,,,' name=',2'  posn='140'>
	))
8	((	NP	<fs   name='NP5'  drel='ccof:CCP2'>
8.1	pArtI	NNC	<fs af='pArtI,n,f,sg,3,d,0,0' name='पार्टी'  posn='150'>
8.2	poliwa	NNC	<fs af='poliwa,adj,any,any,,o,,' posn='160'  name='पोलित'>
8.3	byUro	NN	<fs af='byUro,n,m,sg,3,d,0,0' posn='170'  name='ब्यूरो'>
8.4	saxasya	NN	<fs af='saxasya,n,m,sg,3,o,0,0' name='सदस्य'  posn='180'>
	))
9	((	CCP	<fs   drel='nmod:NP7'  name='CCP2'>
9.1	Ora	CC	<fs af='Ora,avy,,,,,,' posn='190'  name='और2'>
	))
10	((	NP	<fs   name='NP6'  drel='ccof:CCP2'>
10.1	variRTa	JJ	<fs af='variRTa,adj,any,any,,o,,' posn='200'  name='वरिष्ठ'>
10.2	newA	NN	<fs af='newA,n,m,sg,3,o,0,0' posn='210'  name='नेता'>
	))
11	((	NP	<fs   drel='k1:VGF'  name='NP7'>
11.1	sIwArAma	NNPC	<fs af='sIwArAma,n,m,sg,3,d,0,0' posn='220'  name='सीताराम'>
11.2	yecurI	NNP	<fs af='yecurI,n,m,sg,3,o,0,0' name='येचुरी'  posn='230'>
11.3	ne	PSP	<fs af='ne,psp,,,,,,' posn='240'  name='ने'>
	))
12	((	NP	<fs   drel='k7p:VGF'  name='NP8'>
12.1	yahAM	PRP	<fs af='yahAz,pn,,,,d,,' name='यहां'  posn='250'>
	))
13	((	NP	<fs   name='NP9'  drel='r6:NP10'>
13.1	poliwa	NNC	<fs af='poliwa,adj,any,any,,o,,' posn='260'  name='पोलित2'>
13.2	byUro	NN	<fs af='byUro,n,m,sg,3,o,0,0' posn='270'  name='ब्यूरो2'>
13.3	kI	PSP	<fs af='kA,psp,f,sg,,o,,' posn='280'  name='की'>
	))
14	((	NP	<fs   name='NP10'  drel='r6:NP11'>
14.1	bETaka	NN	<fs af='bETaka,n,f,sg,3,o,0,0' name='बैठक'  posn='290'>
14.2	ke	PSP	<fs af='kA,psp,m,sg,,o,,' posn='300'  name='के'>
	))
15	((	NP	<fs   drel='k7:VGF'  name='NP11'>
15.1	samApana	NN	<fs af='samApana,n,m,sg,3,o,0,0' name='समापन'  posn='310'>
15.2	para	PSP	<fs af='para,psp,,,,,,' name='पर'  posn='320'>
	))
16	((	NP	<fs   name='NP12'  drel='k4:VGF'>
16.1	pawrakAroM	NN	<fs af='pawrakAra,n,m,pl,3,o,0,0' posn='330'  name='पत्रकारों'>
16.2	se	PSP	<fs af='se,psp,,,,,,' posn='340'  name='से'>
	))
17	((	VGF	<fs   voicetype='active'  stype='declarative'  name='VGF'>
17.1	kahA	VM	<fs af='kaha,v,m,sg,any,,yA,yA' posn='350'  name='कहा'>
	))
18	((	CCP	<fs   name='CCP3'  drel='k2:VGF'>
18.1	ki	CC	<fs af='ki,avy,,,,,,' name='कि'  posn='360'>
	))
19	((	NP	<fs   name='NP13'  drel='r6:NP14'>
19.1	praXAnamaMwrI	NNP	<fs af='praXAnamaMwrI,n,m,sg,3,o,0,0' posn='370'  name='प्रधानमंत्री'>
19.2	ke	PSP	<fs af='kA,psp,m,sg,,o,,' posn='380'  name='के2'>
	))
20	((	NP	<fs   name='NP14'  drel='vmod:VGF2'>
20.1	spaRtIkaraNa	NN	<fs af='spaRtIkaraNa,n,m,sg,3,o,0,0' name='स्पष्टीकरण'  posn='390'>
20.2	ke	PSP	<fs af='ke,psp,,,,,,' name='के3'  posn='400'>
20.3	bAvajUxa	PSP	<fs af='bAvajUxa,psp,,,,,,' name='बावजूद'  posn='410'>
	))
21	((	NP	<fs   name='NP15'  drel='k1:VGF2'>
21.1	BArawa	NNP	<fs af='BArawa,n,m,sg,3,o,0,0' posn='420'  name='भारत'>
21.2	ko	PSP	<fs af='ko,psp,,,,,,' posn='430'  name='को2'>
	))
22	((	JJP	<fs   drel='k1s:VGF2'  name='JJP'>
22.1	sawarka	JJ	<fs af='sawarka,adj,any,any,,,,' name='सतर्क'  posn='440'>
	))
23	((	VGF	<fs   drel='ccof:CCP3'  voicetype='active'  stype='declarative'  name='VGF2'>
23.1	rahanA	VM	<fs af='raha,v,m,sg,any,,nA,nA' name='रहना'  posn='450'>
23.2	hogA	VAUX	<fs af='ho,v,m,sg,3,,gA,gA' posn='460'  name='होगा'>
	))
24	((	BLK	<fs   name='BLK'  drel='rsym:VGF'>
24.1	.	SYM	<fs af='।,punc,,,,,,' posn='470'  name='।'>
	))
</Sentence>			
<Sentence id='4'>			
1	((	NP	<fs   name='NP'  drel='r6:NP2'>
1.1	saMyukwa	JJ	<fs af='saMyukwa,adj,any,any,,o,,' posn='10'  name='संयुक्त'>
1.2	bayAna	NN	<fs af='bayAna,n,m,sg,3,o,0,0' name='बयान'  posn='20'>
1.3	ke	PSP	<fs af='kA,psp,m,pl,,o,,' posn='30'  name='के'>
	))
2	((	NP	<fs   name='NP2'  drel='k2:VGNF'>
2.1	kuCa	QF	<fs af='kuCa,avy,,,,,,' name='कुछ'  posn='40'>
2.2	pakRoM	NN	<fs af='pakRa,n,m,pl,3,o,0,0' posn='50'  name='पक्षों'>
2.3	ko	PSP	<fs af='ko,psp,,,,,,' name='को'  posn='60'>
	))
3	((	VGNF	<fs   drel='vmod:VGF'  name='VGNF'>
3.1	lekara	VM	<fs af='le,v,any,any,any,,kara,kara' posn='70'  name='लेकर'>
	))
4	((	NP	<fs   drel='r6:NP4'  name='NP3'>
4.1	hamArI	PRP	<fs af='hama,pn,f,pl,1,o,kA,kA' name='हमारी'  posn='80'>
	))
5	((	NP	<fs   name='NP4'  drel='k1:VGF'>
5.1	ASaMkA	NN	<fs af='ASaMkA,n,f,sg,3,d,0,0' posn='90'  name='आशंका'>
	))
6	((	NP	<fs   name='NP5'  drel='k7t:VGF'>
6.1	aBI	PRP	<fs af='aBI,pn,,,,d,,' name='अभी'  posn='100'>
6.2	BI	RP	<fs af='BI,avy,,,,,,' posn='110'  name='भी'>
	))
7	((	VGF	<fs   voicetype='active'  stype='declarative'  name='VGF'>
