<Sentence id='1'>			
1	((	NP	<fs   name='NP'  drel='k1:VGF'>
1.1	lU	NN	<fs af='lU,n,f,sg,3,d,0,0' name='लू'  posn='10'>
	))
2	((	JJP	<fs   drel='k1s:VGF'  name='JJP'>
2.1	kuCa	QF	<fs af='kuCa,avy,,,,,,' posn='20'  name='कुछ'>
2.2	halkI	JJ	<fs af='halkA,adj,f,sg,,,,' posn='30'  name='हल्की'>
	))
3	((	VGF	<fs   stype='declarative'  name='VGF'  voicetype='active'  drel='ccof:CCP'>
3.1	hone	VM	<fs af='ho,v,any,any,any,,nA,nA' posn='40'  name='होने'>
3.2	lagI	VAUX	<fs af='laga,v,f,sg,any,,yA,yA' posn='50'  name='लगी'>
3.3	WI	VAUX	<fs af='WA,v,f,sg,any,,WA,WA' posn='60'  name='थी'>
	))
4	((	CCP	<fs   name='CCP'>
4.1	paranwu	CC	<fs af='paraMwu,avy,,,,,,' posn='70'  name='परन्तु'>
	))
5	((	NP	<fs   name='NP2'  drel='k1:VGF2'>
5.1	wapana	NN	<fs af='wapana,n,f,sg,3,d,0,0' posn='80'  name='तपन'>
	))
6	((	NP	<fs   drel='adv:VGF2'  name='NP3'>
6.1	pUrI	JJ	<fs af='pUrA,adj,f,sg,,d,,' name='पूरी'  posn='90'>
6.2	waraha	NN	<fs af='waraha,n,f,sg,3,d,0,0' name='तरह'  posn='100'>
	))
7	((	JJP	<fs   drel='k1s:VGF2'  name='JJP2'>
7.1	barakarAra	JJ	<fs af='barakarAra,adj,any,any,,,,' name='बरकरार'  posn='110'>
	))
8	((	VGF	<fs   name='VGF2'  stype='declarative'  voicetype='active'  drel='ccof:CCP'>
8.1	WI	VM	<fs af='WA,v,f,sg,any,,WA,WA' posn='120'  name='थी2'>
	))
9	((	BLK	<fs   name='BLK'  drel='rsym:CCP'>
9.1	.	SYM	<fs af='।,punc,,,,,,' posn='130'  name='।'>
	))
</Sentence>			
<Sentence id='2'>			
1	((	NP	<fs   name='NP'  drel='k1:VGF'>
1.1	AkASa	NN	<fs af='AkASa,n,m,sg,3,d,0,0' name='आकाश'  posn='10'>
	))
2	((	NP	<fs   drel='k3:VGF'  name='NP2'>
2.1	XUla	NN	<fs af='XUla,n,f,sg,3,o,0,0' name='धूल'  posn='20'>
2.2	se	PSP	<fs af='se,psp,,,,,,' name='से'  posn='30'>
	))
3	((	VGF	<fs   stype='declarative'  voicetype='active'  name='VGF'>
3.1	nahAyA	VM	<fs af='nahA,v,m,sg,any,,yA,yA' name='नहाया'  posn='40'>
3.2	huA	VAUX	<fs af='ho,v,m,sg,any,,yA,yA' posn='50'  name='हुआ'>
3.3	WA	VAUX	<fs af='WA,v,m,sg,any,,WA,WA' name='था'  posn='60'>
	))
4	((	BLK	<fs   drel='rsym:VGF'  name='BLK'>
4.1	.	SYM	<fs af='।,punc,,,,,,' name='।'  posn='70'>
	))
</Sentence>			
<Sentence id='3'>			
1	((	NP	<fs   drel='k7p:VGF'  name='NP'>
1.1	gAzva	NN	<fs af='gAzva,n,m,sg,3,o,0,0' name='गाँव'  posn='10'>
1.2	meM	PSP	<fs af='meM,psp,,,,,,' posn='20'  name='में'>
	))
2	((	NP	<fs   name='NP2'  drel='r6:NP3'>
2.1	SAxI	NN	<fs af='SAxI,n,f,sg,3,o,0,0' posn='30'  name='शादी'>
2.2	kA	PSP	<fs af='kA,psp,m,sg,,d,,' posn='40'  name='का'>
	))
3	((	NP	<fs   drel='k1:VGF'  name='NP3'>
3.1	sIjana	NN	<fs af='sIjana,n,m,sg,3,d,0,0' posn='50'  name='सीजन'>
	))
4	((	NP	<fs   name='NP4'  drel='adv:VGF'>
4.1	jZoroM	NN	<fs af='jZora,n,m,pl,3,o,0,0' posn='60'  name='ज़ोरों'>
4.2	para	PSP	<fs af='para,psp,,,,,,' name='पर'  posn='70'>
	))
5	((	VGF	<fs   stype='declarative'  voicetype='active'  name='VGF'>
5.1	WA	VM	<fs af='WA,v,m,sg,any,,WA,WA' posn='80'  name='था'>
	))
6	((	BLK	<fs   drel='rsym:VGF'  name='BLK'>
6.1	.	SYM	<fs af='।,punc,,,,,,' name='।'  posn='90'>
	))
</Sentence>			
<Sentence id='4'>			
1	((	NP	<fs   name='NP'  drel='ccof:NULL__CCP'>
1.1	sadZaka	NN	<fs af='sadaka,n,f,sg,3,d,0,0' name='सड़क'  posn='10'>
	))
2	((	NP	<fs   name='NP2'  drel='ccof:NULL__CCP'>
2.1	pagadaNdI	NN	<fs af='pagadaMdI,n,f,sg,3,d,0,0' name='पगडण्डी'  posn='20'>
	))
3	((	NULL__CCP	<fs   dmrel='k1:VGF'  troot='और'  mtype='gap'  name='NULL__CCP'>
3.1	NULL	CC	<fs af=',avy,,,,,,' name='NULL'>
	))
4	((	NP	<fs   drel='ccof:NULL__CCP'  name='NP3'>
4.1	saBI	QF	<fs af='saBI,avy,,,,,,' name='सभी'  posn='30'>
4.2	rAswe	NN	<fs af='rAswA,n,m,pl,3,d,0,0' name='रास्ते'  posn='40'>
	))
5	((	NP	<fs   drel='r6:NP5'  name='NP4'>
5.1	musAPiroM	NN	<fs af='musAPira,n,m,pl,3,o,0,0' name='मुसाफिरों'  posn='50'>
5.2	kI	PSP	<fs af='kA,psp,f,sg,,o,,' name='की'  posn='60'>
	))
6	((	NP	<fs   name='NP5'  drel='rh:VGF'>
6.1	AvAjAhI	NN	<fs af='AvAjAhI,n,f,sg,3,o,0,0' name='आवाजाही'  posn='70'>
6.2	se	PSP	<fs af='se,psp,,,,,,' posn='80'  name='से'>
	))
7	((	NP	<fs   drel='r6:NP7'  name='NP6'>
7.1	SAxI	NN	<fs af='SAxI,n,f,sg,3,o,0,0' name='शादी'  posn='90'>
7.2	ke	PSP	<fs af='kA,psp,m,sg,,o,,' name='के'  posn='100'>
	))
8	((	NP	<fs   name='NP7'  drel='r6:NP8'>
8.1	jaSna	NN	<fs af='jaSna,n,m,sg,3,o,0,0' posn='110'  name='जश्न'>
8.2	kA	PSP	<fs af='kA,psp,m,sg,,d,,' name='का'  posn='120'>
	))
9	((	NP	<fs   drel='k1s:VGF'  name='NP8'>
9.1	mUka	JJ	<fs af='mUka,adj,any,any,,d,,' name='मूक'  posn='130'>
9.2	sAkRI	NN	<fs af='sAkRI,n,m,sg,3,d,0,0' posn='140'  name='साक्षी'>
	))
10	((	VGF	<fs   name='VGF'  voicetype='active'  stype='declarative'>
10.1	bana	VM	<fs af='bana,v,any,any,any,,0,0' name='बन'  posn='150'>
10.2	rahe	VAUX	<fs af='raha,v,m,pl,any,,yA,yA' name='रहे'  posn='160'>
10.3	We	VAUX	<fs af='WA,v,m,pl,any,,WA,WA' name='थे'  posn='170'>
	))
11	((	BLK	<fs   name='BLK'  drel='rsym:VGF'>
11.1	.	SYM	<fs af='।,punc,,,,,,' name='।'  posn='180'>
	))
</Sentence>			
<Sentence id='5'>			
1	((	NP	<fs   drel='nmod:NP2'  name='NP'>
1.1	nAca	NNC	<fs af='nAca,n,m,sg,3,d,0,0' name='नाच'  posn='10'>
1.2	maNdalI	NN	<fs af='maMdalI,n,f,sg,3,o,0,0' posn='20'  name='मण्डली'>
1.3	vAle	PSP	<fs af='vAlA,psp,m,pl,,o,,' name='वाले'  posn='30'>
	))
2	((	NP	<fs   name='NP2'  drel='k7:VGNF'>
2.1	ikke	NN	<fs af='ikkA,n,m,sg,3,o,0,0' name='इक्के'  posn='40'>
2.2	para	PSP	<fs af='para,psp,,,,,,' posn='50'  name='पर'>
	))
3	((	NP	<fs   name='NP3'  drel='k2:VGNF'>
3.1	lAudaspIkara	NN	<fs af='lAudaspIkara,n,m,sg,3,d,0,0' name='लाउडस्पीकर'  posn='60'>
	))
4	((	VGNF	<fs   drel='ccof:NULL__CCP'  name='VGNF'>
4.1	bajAwe	VM	<fs af='bajA,v,m,pl,any,,wA,wA' posn='70'  name='बजाते'>
4.2	,	SYM	<fs af='COMMA,punc,,,,,,' posn='80'  name=','>
	))
5	((	NP	<fs   drel='r6:NP5'  name='NP4'>
5.1	nAtaka	NN	<fs af='nAtaka,n,m,sg,3,o,0,0' name='नाटक'  posn='90'>
5.2	ke	PSP	<fs af='kA,psp,m,pl,,d,,' name='के'  posn='100'>
	))
6	((	NP	<fs   name='NP5'  drel='k2:VGNF2'>
6.1	dAyalOYga	NN	<fs af='dAyalOYga,n,m,pl,3,d,0,0' name='डायलॉग'  posn='110'>
	))
7	((	VGNF	<fs   name='VGNF2'  drel='ccof:NULL__CCP'>
7.1	bolawe	VM	<fs af='bola,v,m,pl,any,,wA,wA' posn='120'  name='बोलते'>
7.2	,	SYM	<fs af='COMMA,punc,,,,,,' posn='130'  name=',2'>
	))
8	((	NULL__CCP	<fs   troot='और'  dmrel='vmod:VGF'  mtype='gap'  name='NULL__CCP'>
8.1	NULL	CC	<fs af=',avy,,,,,,' name='NULL'>
	))
9	((	NP	<fs   drel='r6:NP7'  name='NP6'>
9.1	SAxI	NN	<fs af='SAxI,n,f,sg,3,o,0,0' name='शादी'  posn='140'>
9.2	ke	PSP	<fs af='kA,psp,m,pl,,d,,' posn='150'  name='के2'>
	))
